Comment,Designator,Footprint,LCSC, LCSC
"18650","BAT1","Battery:BatteryHolder_MPD_BH-18650-PC2",""
"C","C1","Capacitor_SMD:C_0805_2012Metric","","C360619"
"WS2812B","D1","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","","C114586"
"MountingHole","H1,H2","ButtonFP:MountingHole_3.2mm_M3","","-"
"USB_PD_6pin","J1","custom:USB_PD_6pin","","C283540"
"PIXEL","J2","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","","C131339"
"Programming","J3","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"Ext1","J4","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"Ext2","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"220k","R1","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","C102311"
"60.4k","R2","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","C102228"
"10k","R3,R4,R5,R6,R7,R8,R9,R10,R12,R11","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","C380783"
"Stud M3x5+6","SCR1","","","C118179"
"Screw M3x4","SCR2","","","C357397"
"SW_Push","SW1","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",""
"SW_ONOFF","SW2","custom:SS-12D11G5R_2pin","","C388633"
"SW_RST","SW3","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","","C231731"
"SW_PRG","SW4","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","","C231731"
"ESP-07","U1","RF_Module:ESP-07","","C82894"
"MCP1700","U2","Package_TO_SOT_SMD:SOT-23","","C39051"
"TP5100","U3","Charging-modules:TP5100","","-"
"DS18B20","U4","Package_TO_SOT_THT:TO-92_Inline","","C376006"